,title,author_list,publisher,pub_date,doi,id,abstract,acknowledgements,journal_title,volume,issue,times_cited,mesh_terms,cited_dimensions_ids
0,Association of occupational burnout and occupational exposure factors on psychological health among factory workers and miners: a propensity score analysis,"Yaoqin Lu, Zhe Zhang, Sunyujie Gao, Huan Yan, Lijiang Zhang, Jiwen Liu",Springer Nature,2020-10-27,10.1007/s00420-020-01587-6,pub.1132052677,"PurposeThis study is to explore the association of occupational burnout and occupational exposure factors on psychological health among factory workers and miners.MethodsA total of 6130 factories workers and miners in Urumqi, China were included using a cluster sampling method. The occupational burnout and psychological health were investigates using the Chinese Maslach Burnout Inventory (CMBI) and the Symptom Check List-90 (SCL-90). The propensity score analysis (PSA) was used to eliminate the influence of individual characteristics, and 2164 pairs of participants on psychological healthy and unhealthy were matched. After PSA, the relationship between occupational burnout, occupational hazard exposure, and psychological health was evaluated.ResultsThe results showed that asbestos dust (OR 1.65, CI 95% 1.35–2.02) and CMBI (OR 2.59, CI 95% 2.39–2.83) were risk factors affecting psychological health (P < 0.001).ConclusionsMeasures need to be taken to ease occupational burnout among factories workers and miners, and strengthen personal protection to improve their psychological health.",,International Archives of Occupational and Environmental Health,94,3,0,"['Adult', 'Air Pollutants, Occupational', 'Asbestos', 'Burnout, Professional', 'China', 'Dust', 'Female', 'Humans', 'Male', 'Manufacturing Industry', 'Mental Health', 'Middle Aged', 'Miners', 'Occupational Exposure', 'Occupational Health', 'Propensity Score', 'Risk Factors']","['pub.1103282306', 'pub.1008989522', 'pub.1128794123', 'pub.1016796903', 'pub.1059948400', 'pub.1022248795', 'pub.1125103676', 'pub.1084005577', 'pub.1020194314', 'pub.1034306397', 'pub.1117157157', 'pub.1058305727', 'pub.1120025449', 'pub.1129991506', 'pub.1128091744', 'pub.1026060254', 'pub.1004796036', 'pub.1084250686', 'pub.1001311348', 'pub.1084500264', 'pub.1023410159', 'pub.1044893161', 'pub.1111659650', 'pub.1017019130', 'pub.1006767602', 'pub.1064002496', 'pub.1070773408', 'pub.1043425172', 'pub.1028914324', 'pub.1046865341', 'pub.1049768038', 'pub.1027584099', 'pub.1016576997', 'pub.1100426194', 'pub.1112520723', 'pub.1013301058', 'pub.1022230928']"
1,Matching pennies games as asymmetric models of conflict,Michał Wiktor Krawczyk,Cambridge University Press (CUP),2019-08-13,10.1017/s0140525x19000864,pub.1120287679,"De Dreu and Gross (D&G) seem to have disregarded some relevant experimental literature on games of conflict, most notably variations on ""matching pennies"" games. While in such games, ""attacker"" and ""defender"" are typically not explicitly labelled, players' differentiated roles yield naturally to such notions. These studies partly validate some of D&G's findings and interpretations.",,Behavioral and Brain Sciences,42,,0,"['Conflict, Psychological']","['pub.1063625518', 'pub.1030949990', 'pub.1035894414', 'pub.1044143666', 'pub.1022818775', 'pub.1023238173', 'pub.1002119077', 'pub.1052084530', 'pub.1003173897', 'pub.1027014696', 'pub.1059804006', 'pub.1019380845', 'pub.1053961365']"
2,Policing Cyberspace: Understanding Online Repression in Thailand and the Philippines,Fernan Talamayan,Universitas Bina Nusantara,2020-12-15,10.21512/jas.v8i2.6769,pub.1134775171,"Social networking sites have become increasingly relevant in the study of democracy and culture in recent years. This study explores the interconnectedness of social networks, the imposition of state control, and management of social behavior by comparing various literature on the operation of repression in Thai and Philippine cyberspaces. It examines the overt and covert policing of daily interactions in digital environments and unpacks governmental technologies’ disciplinary mechanisms following Michel Foucault’s notion of government and biopolitical power. Subjugation in the context of social networks merits analysis for it sheds light on the practice of active and passive self-censorship—the former driven by the pursuit of a moral self-image and the latter by state-sponsored fear. In tracing various points of convergence and divergence in the practice of cyber control in Thailand and the Philippines, the study found newer domains of regulation of social behavior applicable to today’s democracies.",,JAS (Journal of ASEAN Studies),8,2,0,,"['pub.1084170043', 'pub.1012922504', 'pub.1012148607', 'pub.1103733152', 'pub.1014556113', 'pub.1022749578', 'pub.1091444710', 'pub.1127050393', 'pub.1044960227', 'pub.1019474021', 'pub.1117420412', 'pub.1073334734', 'pub.1007883124', 'pub.1044316080', 'pub.1017511486', 'pub.1073412697', 'pub.1040717762']"
3,"Toward the bigger picture: Concrete and abstract thinking about a transgression, and the role of time in interpersonal forgiveness","Michael Wenzel, Anne‐Marie Coughlin",Wiley,2020-05-29,10.1002/ejsp.2676,pub.1126882543,"Rumination is commonly considered detrimental to forgiveness. In contrast, we propose that different forms of post‐transgression thinking are differentially effective for forgiveness, depending on their timing. Concrete thinking focuses on event details, whereas abstract thinking abstracts from details and views the event in a broader context. Following construal level theory, we propose that concrete thinking is increasingly ill‐matched, and abstract thinking better matched, to the construal abilities and motivation afforded by psychological distance. Hence, over time, concrete thinking would be negatively, and abstract thinking positively, associated with forgiveness. Two correlational recall studies, with time since transgression measured (Study 1) or manipulated (Study 2), demonstrated that with greater temporal distance concrete thinking was more negatively, and abstract thinking more positively, related to forgiveness. Study 3 employed a prospective‐longitudinal methodology over five time‐points; intra‐individual decrease in concrete thinking and increase in abstract thinking over time were related to higher levels of forgiveness.",,European Journal of Social Psychology,50,4,4,,"['pub.1048824766', 'pub.1035188535', 'pub.1061949331', 'pub.1056347339', 'pub.1042159964', 'pub.1051805261', 'pub.1071708260', 'pub.1007521565', 'pub.1010135857', 'pub.1061834261', 'pub.1036694070', 'pub.1020448260', 'pub.1007333205', 'pub.1073308954', 'pub.1067636187', 'pub.1046307669', 'pub.1069388153', 'pub.1063740047', 'pub.1008873248', 'pub.1038245196', 'pub.1036668785', 'pub.1033853075', 'pub.1063740387', 'pub.1021557563', 'pub.1024585622', 'pub.1010713539', 'pub.1047773560', 'pub.1021226817', 'pub.1061949328', 'pub.1054045772', 'pub.1039836349', 'pub.1063740273', 'pub.1123237602', 'pub.1030236095', 'pub.1005132480', 'pub.1007138869', 'pub.1058803290', 'pub.1029654112', 'pub.1033991006', 'pub.1027426061', 'pub.1004250680', 'pub.1017310132']"
4,Modeling the spread of fake news on Twitter,"Taichi Murayama, Shoko Wakamiya, Eiji Aramaki, Ryota Kobayashi",Public Library of Science (PLoS),2021-04-22,10.1371/journal.pone.0250419,pub.1137403018,"Fake news can have a significant negative impact on society because of the growing use of mobile devices and the worldwide increase in Internet access. It is therefore essential to develop a simple mathematical model to understand the online dissemination of fake news. In this study, we propose a point process model of the spread of fake news on Twitter. The proposed model describes the spread of a fake news item as a two-stage process: initially, fake news spreads as a piece of ordinary news; then, when most users start recognizing the falsity of the news item, that itself spreads as another news story. We validate this model using two datasets of fake news items spread on Twitter. We show that the proposed model is superior to the current state-of-the-art methods in accurately predicting the evolution of the spread of a fake news item. Moreover, a text analysis suggests that our model appropriately infers the correction time, i.e., the moment when Twitter users start realizing the falsity of the news item. The proposed model contributes to understanding the dynamics of the spread of fake news on social media. Its ability to extract a compact representation of the spreading pattern could be useful in the detection and mitigation of fake news.","This study was supported by JSPS KAKENHI Grant Number JP19K20279 to S.W., 331 JSPS KAKENHI Grant Number JP19H04221 and Health and Labor Sciences Research 332 Grant Number H30-shinkougyousei-shitei-004 to S.W. and E.A., and JSPS KAKENHI 333 Grant Numbers JP17H03279, JP18K11560, and JP19H01133, and JST PRESTO Grant 334 Numbers JPMJPR1925 to R.K. We thank JST ACT-I for its support (JPMJPR16UU 335 to S.W. and JPMJPR16UC to R.K.). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. We thank Takeaki Uno for stimulating discussions and JST ACT-I for providing us the opportunity for this collaboration.",PLOS ONE,16,4,4,"['Data Mining', 'Deception', 'Humans', 'Information Dissemination', 'Models, Theoretical', 'Smartphone', 'Social Media', 'Time Factors']","['pub.1034931259', 'pub.1131368097', 'pub.1103369568', 'pub.1091623818', 'pub.1001395473', 'pub.1016401107', 'pub.1107120450', 'pub.1092614799', 'pub.1029077996', 'pub.1095379864', 'pub.1099113739', 'pub.1096143740', 'pub.1124436977', 'pub.1086034858', 'pub.1086036432', 'pub.1032496848', 'pub.1107054362', 'pub.1034977983', 'pub.1031680899', 'pub.1091103028', 'pub.1101382661', 'pub.1109911839', 'pub.1113484572', 'pub.1131323266', 'pub.1126123495', 'pub.1051646807', 'pub.1110929184', 'pub.1100517001', 'pub.1048561104', 'pub.1013691597', 'pub.1061471419', 'pub.1128169009', 'pub.1000397636', 'pub.1031508430', 'pub.1062853039']"
5,"Emerging Technologies in Data Mining and Information Security, Proceedings of IEMIS 2018, Volume 2",,Springer Nature,2019,10.1007/978-981-13-1498-8,pub.1109614282,"The book features research papers presented at the International Conference on Emerging Technologies in Data Mining and Information Security (IEMIS 2018) held at the University of Engineering & Management, Kolkata, India, on February 23–25, 2018. It comprises high-quality research by academics and industrial experts in the field of computing and communication, including full-length papers, research-in-progress papers, case studies related to all the areas of data mining, machine learning, IoT and information security.",,Advances in Intelligent Systems and Computing,813,,1,,
6,THE IMS PARADOX: A PERSPECTIVE ON STRUCTURAL ION MOBILITY‐MASS SPECTROMETRY,"Jacob W. McCabe, Michael J. Hebert, Mehdi Shirzadeh, Christopher S. Mallis, Joanna K. Denton, Thomas E. Walker, David H. Russell",Wiley,2020-07,10.1002/mas.21642,pub.1128880427,"Studies of large proteins, protein complexes, and membrane protein complexes pose new challenges, most notably the need for increased ion mobility (IM) and mass spectrometry (MS) resolution. This review covers evolutionary developments in IM-MS in the authors' and key collaborators' laboratories with specific focus on developments that enhance the utility of IM-MS for structural analysis. IM-MS measurements are performed on gas phase ions, thus ""structural IM-MS"" appears paradoxical-do gas phase ions retain their solution phase structure? There is growing evidence to support the notion that solution phase structure(s) can be retained by the gas phase ions. It should not go unnoticed that we use ""structures"" in this statement because an important feature of IM-MS is the ability to deal with conformationally heterogeneous systems, thus providing a direct measure of conformational entropy. The extension of this work to large proteins and protein complexes has motivated our development of Fourier-transform IM-MS instruments, a strategy first described by Hill and coworkers in 1985 (Anal Chem, 1985, 57, pp. 402-406) that has proved to be a game-changer in our quest to merge drift tube (DT) and ion mobility and the high mass resolution orbitrap MS instruments. DT-IMS is the only method that allows first-principles determinations of rotationally averaged collision cross sections (CSS), which is essential for studies of biomolecules where the conformational diversities of the molecule precludes the use of CCS calibration approaches. The Fourier transform-IM-orbitrap instrument described here also incorporates the full suite of native MS/IM-MS capabilities that are currently employed in the most advanced native MS/IM-MS instruments. © 2020 John Wiley & Sons Ltd. Mass Spec Rev.","Current funding for research in the Russell Lab is provided by the National Institutes of Health (P41GM128577 and R01GM121751) and the National Science Foundation (CHE‐1707675). This review/perspective is written in honor of Professor Michael L. Gross for his many contributions to fundamental and applied mass spectrometry research, his 25 years as Editor‐in‐Chief of the Journal of the American Society for Mass Spectrometry, and his many contributions to the education of the next generation of MS scientists.",Mass Spectrometry Reviews,40,3,13,"['Fourier Analysis', 'Mass Spectrometry', 'Peptides', 'Protein Conformation', 'Protein Folding', 'Protein Stability', 'Proteins', 'Solvents', 'Spectrometry, Mass, Electrospray Ionization', 'Ubiquitin', 'Water']","['pub.1040236539', 'pub.1123730147', 'pub.1001980045', 'pub.1055818944', 'pub.1055000934', 'pub.1120018111', 'pub.1014270605', 'pub.1056290215', 'pub.1104878364', 'pub.1120796810', 'pub.1056125292', 'pub.1008665921', 'pub.1003261658', 'pub.1112944798', 'pub.1129328307', 'pub.1008854091', 'pub.1128305910', 'pub.1054997085', 'pub.1127567558', 'pub.1099661595', 'pub.1101369614', 'pub.1032926629', 'pub.1012984225', 'pub.1037058890', 'pub.1124831001', 'pub.1055079349', 'pub.1033477100', 'pub.1056042136', 'pub.1005916162', 'pub.1014602607', 'pub.1092575044', 'pub.1109798075', 'pub.1055107772', 'pub.1117159753', 'pub.1126496487', 'pub.1054971328', 'pub.1056114701', 'pub.1092575225', 'pub.1024132990', 'pub.1115986369', 'pub.1052201467', 'pub.1049646221', 'pub.1055081044', 'pub.1002533568', 'pub.1006121936', 'pub.1055078002', 'pub.1056103822', 'pub.1047717537', 'pub.1016707919', 'pub.1105304293', 'pub.1125112561', 'pub.1055833188', 'pub.1055114134', 'pub.1055859204', 'pub.1054997006', 'pub.1036857538', 'pub.1015821451', 'pub.1118006380', 'pub.1101351355', 'pub.1055002489', 'pub.1055867590', 'pub.1054994959', 'pub.1055850105', 'pub.1016656472', 'pub.1011499338', 'pub.1112572401', 'pub.1124835777', 'pub.1113380699', 'pub.1055079785', 'pub.1106055452', 'pub.1103686392', 'pub.1032549112', 'pub.1046688837', 'pub.1117503877', 'pub.1079403985', 'pub.1055886063', 'pub.1055849737', 'pub.1084121297', 'pub.1035899815', 'pub.1055874110', 'pub.1055002632', 'pub.1030013712', 'pub.1001027966', 'pub.1055003877', 'pub.1042988262', 'pub.1001220772', 'pub.1113085452', 'pub.1057691774', 'pub.1103439311', 'pub.1120831742', 'pub.1054996715', 'pub.1049269822', 'pub.1007087442', 'pub.1056118896', 'pub.1000697773', 'pub.1053218404', 'pub.1006258449', 'pub.1084121292', 'pub.1039609748', 'pub.1113810519', 'pub.1006968102', 'pub.1002624568', 'pub.1030986981', 'pub.1006862226', 'pub.1025929388', 'pub.1054997564', 'pub.1041685154', 'pub.1084121299', 'pub.1055079119', 'pub.1050848541', 'pub.1113837115', 'pub.1055005376', 'pub.1106593751', 'pub.1045658165', 'pub.1085718940', 'pub.1107040405', 'pub.1048961107', 'pub.1053190895', 'pub.1100469969', 'pub.1113467797', 'pub.1035384576', 'pub.1112768416', 'pub.1002179239', 'pub.1031391188', 'pub.1023169686', 'pub.1084134445', 'pub.1116042851', 'pub.1029816843', 'pub.1085277358', 'pub.1062465982', 'pub.1111406912', 'pub.1111681946', 'pub.1111606181', 'pub.1052759476', 'pub.1017184696', 'pub.1055876386', 'pub.1057696096', 'pub.1091343303', 'pub.1125104251', 'pub.1006536663', 'pub.1051589397', 'pub.1055874231', 'pub.1023369172', 'pub.1049347357', 'pub.1124360454', 'pub.1090300682', 'pub.1038974964', 'pub.1025958045', 'pub.1113830108', 'pub.1099608134', 'pub.1056100147', 'pub.1014285016', 'pub.1022227722', 'pub.1025863780', 'pub.1006442007', 'pub.1008362972', 'pub.1055856652', 'pub.1017470915', 'pub.1034303309', 'pub.1105702075', 'pub.1056083214', 'pub.1023953295', 'pub.1048457867', 'pub.1056112917', 'pub.1101535989', 'pub.1073597426', 'pub.1022141186', 'pub.1005241075']"
7,CONTROVERSIES ON ALGORITHMIC HARMS: corporate discourses on coded discrimination,"Sergio Amadeu da Silveira, Tarcizio Roberto da Silva",Universidade Federal do Tocantins,2020-07-01,10.20873/uft.2447-4266.2020v6n4a1en,pub.1134925640,"Discriminatory impacts and the damages due to algorithmic systems have opened discussions regarding the scope of responsibility of communication technology and artificial intelligence companies. The article presents public controversies triggered by eight public cases of harm and algorithmic discrimination that generated public responses from technology companies, addressing the efforts made by them in framing the debate about responsibility in the course of planning, training and implementation of systems.  Following that, it discusses how the opacity of systems is defended by the commercial companies that develop them, alleging prerogatives such as “industry secrets” and algorithmic inscrutability.",,Revista Observatório,6,4,0,,
8,Nurses&#x27; experiences of pain management in end-of-life dementia care: a literature review,"Kerry May, Janet Scammell",Mark Allen Group,2020-03-02,10.12968/ijpn.2020.26.3.110,pub.1126503999,"BACKGROUND: Nurses play an important role in assessing and managing pain. However, this is often poorly managed for people living with dementia.
AIM: To explore nurses' experiences of pain management in end-of-life dementia care.
METHODS: Using the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) guidelines, a systematic narrative review of research papers published in English between 2008 and 2018 was conducted. Data sources were CINAHL, Medline, PsycINFO, ScienceDirect and SocIndex. Articles focused on nursing at the end of life and pain management in people with dementia.
FINDINGS: Eight articles were retrieved that met the search criteria. Four studies used qualitative methodology, two quantitative and two mixed methods. Studies from the UK dominated (<i>n</i>=5), the remainder were from Sweden, Norway and the US. Following thematic analysis, three themes were identified: training and education in pain management at the end of life for people with dementia, challenges in identifying pain and pain assessment tool use.
CONCLUSION: The review revealed inadequate education for nurses concerning end-of-life care for people living with dementia, notably concerning pain recognition and use of assessment tools. It is recommended that specialist education is mandated for all nurses working with this client group to improve care delivery.",this work was unfunded,International Journal of Palliative Nursing,26,3,3,"['Adult', 'Dementia', 'Female', 'Humans', 'Male', 'Middle Aged', 'Nursing Staff, Hospital', 'Pain Management', 'Palliative Care', 'Qualitative Research', 'Sweden', 'Terminal Care']","['pub.1106525834', 'pub.1101000274', 'pub.1064817452', 'pub.1064817623', 'pub.1093140138', 'pub.1105251209', 'pub.1049117716', 'pub.1052549802', 'pub.1023685679', 'pub.1047754685', 'pub.1001094019', 'pub.1035086605', 'pub.1071718692', 'pub.1122050385', 'pub.1064817080', 'pub.1007213016', 'pub.1078400305', 'pub.1098743462', 'pub.1036555197', 'pub.1021488655', 'pub.1099297362', 'pub.1023108725', 'pub.1085439204', 'pub.1009086490', 'pub.1007147640', 'pub.1099780601']"
9,COVID-19 Vaccine Passports: Human Rights and the Need for Pro-Ethical Design,"Emmie Hine, Jessica Morley, Mariarosaria Taddeo, Luciano Floridi",Elsevier,2021,10.2139/ssrn.3885252,pub.1139673798,"Since the first case was reported to the World Health Organisation in December 2019, SARS-CoV-2 (COVID-19) has caused social and economic devastation on a scale not seen since World War 2. As the milestone of 2 years of ‘living with the virus’ approaches, Governments and businesses are desperate to develop interventions that can facilitate the reopening of society whilst still protecting public health. As the roll-out of COVID-19 vaccinations has gathered pace worldwide, particularly in wealthier countries, those responsible for developing such interventions have begun to focus on the use of digital ‘COVID-19 Vaccine Passports’, which can be used to prove that an individual has had an approved COVID-19 vaccination (both doses where applicable). Governments hope that Vaccine Passports may be used to facilitate international travel and permit increased domestic liberties, for example allowing people to access public venues, to attend large gatherings, or to return to work without compromising personal safety and public health. “Yellow Fever certificates”, required to enter a specific list of countries maintained by the World Health Organisation, provide a precedent for this type of intervention. However, there are concerns that the use of COVID-19 Vaccine Passports could be viewed as a mechanism for introducing a mandatory vaccination policy, and there are also concerns that due to issues related to the unequal global distribution of effective vaccines and ‘the digital divide’ their use could exacerbate inequalities. Therefore, we set out to answer the following questions: a) how should businesses and Governments assess the risks challenging human rights, public health, and digital ethics, which emerge from developing and deploying COVID-19 Vaccine Passports; b) do the implications for human rights, public health, and data ethics vary depending on where and when COVID-19 Vaccine Passports are used; c) what design decisions should businesses make when developing COVID-19 Vaccine Passports to help ensure they respect human rights, and both public health and data ethics; d) what are the rights and powers of the individual to object to, or seek remedy for, the use of COVID-19 Vaccine Passports; and e) how can the risks of inequalities and social division derived from the use of COVID-19 Vaccine Passports be avoided or mitigated?Here we discuss our findings based on a systematised literature review and documentary analysis. We find that in the context of a global public health emergency, COVID-19 status passes are ethically and legally permissible under relevant human rights and international health regulations, provided they are designed, implemented, and used in accordance with the least infringement principle and the value of equality. We then set out 17 concrete recommendations for supranational bodies, national governments, and businesses to help ensure they develop and deploy COVID-19 Vaccine Passports accordingly.",,SSRN Electronic Journal,,,0,,"['pub.1135910081', 'pub.1136339825', 'pub.1137369913', 'pub.1033385884', 'pub.1011935974', 'pub.1136853442', 'pub.1135646426', 'pub.1125499013', 'pub.1136999079', 'pub.1040655957', 'pub.1138071071', 'pub.1129077168', 'pub.1137229804', 'pub.1000750002', 'pub.1135909874', 'pub.1137256211', 'pub.1127409048', 'pub.1130019675', 'pub.1005525522', 'pub.1062819669', 'pub.1135782913', 'pub.1127989603', 'pub.1068843655']"
