,wordscore,matching_terms,mode_words,research,solution,tech,doi
0,-1,"[('social', 1)]","[('and', 24), ('to', 18), ('the', 18), ('social', 13)]","[('mean', 1), ('argu', 1), ('field', 1), ('differ', 1)]","[('find', 1), ('intervent', 1)]","[('communiti', 1), ('social', 1)]",10.1108/jsocm-01-2018-0006
1,2,"[('experi', 1), ('rate', 1), ('boost', 1)]","[('and', 10), ('in', 6), ('of', 5), ('the', 5)]","[('intervent', 1), ('experi', 1), ('field', 1), ('random', 1)]","[('increas', 1), ('intervent', 1)]",[],10.1080/09640568.2017.1305332
2,-1,"[('social', 1)]","[('of', 8), ('the', 7), ('elements', 7), ('taught', 7)]","[('mean', 1), ('result', 1), ('studi', 1), ('subject', 1)]",[],"[('social', 1)]",10.1044/jshr.3605.979
3,4,"[('behavior', 1), ('design', 1), ('social', 1), ('inform', 1)]","[('the', 8), ('of', 6), ('recycling', 5), ('and', 5)]","[('review', 1), ('studi', 1), ('intervent', 1), ('articl', 1)]","[('find', 1), ('intervent', 1)]","[('social', 1)]",10.1016/j.jenvp.2017.03.011
4,6,"[('behavior', 1), ('social', 1), ('inform', 1)]","[('the', 11), ('a', 10), ('of', 7), ('feedback', 7)]","[('result', 1), ('studi', 1), ('measur', 1), ('particip', 1)]","[('decreas', 1), ('increas', 1)]","[('social', 1)]",10.1016/j.jenvp.2016.07.004
5,4,"[('behavior', 1), ('social', 1)]","[('and', 9), ('the', 7), ('of', 5), ('a', 5)]","[('result', 1), ('studi', 1), ('differ', 1), ('posit', 1)]","[('find', 1), ('intervent', 1)]","[('social', 1), ('web', 1), ('data', 1)]",10.1007/s11625-020-00867-x
6,7,"[('choic', 1), ('social', 1), ('inform', 1)]","[('the', 16), ('and', 8), ('on', 7), ('of', 5)]","[('result', 1), ('studi', 1), ('differ', 1), ('logist', 1)]","[('find', 1)]","[('like', 1), ('social', 1), ('data', 1)]",10.1108/ijlm-11-2019-0305
7,1,"[('behavior', 1), ('user', 1)]","[('the', 8), ('to', 7), ('of', 6), ('a', 5)]","[('result', 1), ('studi', 1), ('posit', 1), ('propos', 1)]","[('increas', 1)]","[('user', 1)]",10.5325/transportationj.58.3.0149
8,2,"[('behavior', 1), ('attent', 1)]","[('the', 5), ('of', 5), ('in', 4), ('and', 3)]","[('field', 1), ('propos', 1), ('stimuli', 1), ('recent', 1)]",[],[],10.1080/01608061.2016.1211062
9,9,"[('design', 1), ('user', 1), ('experi', 1), ('consum', 1)]","[('and', 5), ('social', 4), ('the', 4), ('a', 3)]","[('result', 1), ('field', 1), ('experi', 1), ('regress', 1)]","[('find', 1)]","[('user', 1), ('recommend', 1), ('social', 1)]",10.1111/boer.12313
