,title_source,author_list,publisher,pub_date,doi,id,abstract,acknowledgements,journal_title,volume,issue,times_cited,mesh_terms,cited_dimensions_ids,title
0,Applied Behavior Analysis and Social Marketing: An Integration for Environmental Preservation,E. Scott Geller,Wiley,1989-04,10.1111/j.1540-4560.1989.tb01531.x,pub.1033781069,"Basic principles of applied behavior analysis and social marketing are reviewed with reference to the development of action plans to protect the environment. Behavior-change procedures that have targeted environmental preservation are categorized as antecedent interventions (including education, prompting, modeling, goal setting and commitment, and engineering and design strategies) or consequence procedures (i.e., reinforcement and punishment). Although past behavior analysis research has demonstrated environmental benefits from applying certain behavior-change interventions, those studies were small-scale and short-lived. This paper offers an integrative model of applied behavior analysis and social marketing as a potential approach to large-scale and long-term intervention for environmental protection. The market analysis and segmentation phases of social marketing, for example, allow for the specialization of behavior-change strategies for particular target groups. This integration requires increased collaboration between behavior analysts and environmental psychologists who study the correlation of individuals' environmental concern and action with their attitudinal, demographic, and personality characteristics. A plea is made to replace armchair theorizing with interdisciplinary and intervention-focused environmental research.",,Journal of Social Issues,45,1,155,,"['pub.1090366810', 'pub.1020378398', 'pub.1017441123', 'pub.1110432763', 'pub.1058579195', 'pub.1014276234', 'pub.1017377476', 'pub.1018743681', 'pub.1044021258', 'pub.1036634526', 'pub.1024368052', 'pub.1031563563', 'pub.1027485254', 'pub.1010711255', 'pub.1016268071', 'pub.1007968555', 'pub.1007718244', 'pub.1000635001', 'pub.1002973666', 'pub.1007176029', 'pub.1000552121', 'pub.1011762497', 'pub.1019658032', 'pub.1029664017', 'pub.1020860070', 'pub.1085933014', 'pub.1038006166', 'pub.1012071573', 'pub.1048769463', 'pub.1037226530', 'pub.1069415659', 'pub.1013982715', 'pub.1069417317', 'pub.1019728764', 'pub.1022891723', 'pub.1047119010', 'pub.1069278079', 'pub.1034520045', 'pub.1011365597', 'pub.1016022549', 'pub.1040020976', 'pub.1029659265', 'pub.1002820121', 'pub.1110045511']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
1,OFFICE PAPER RECYCLING: A FUNCTION OF CONTAINER PROXIMITY,"Kevin J. Brothers, Patricia J. Krantz, Lynn E. McClannahan",Wiley,1994-03,10.1901/jaba.1994.27-153,pub.1013196479,"We investigated the effects of proximity of containers on pounds of office paper recycled and not recycled by 25 employees. During a memo and central container condition, one container for recyclable paper was provided; in a memo and local container condition, desktop recycling bins, announced by memo, were successively introduced across administrative, office, and instructional settings using a multiple baseline design. Only 28% of paper was recycled in the central container condition, but when recycling containers were placed in close proximity to participants, 85% to 94% of all recyclable paper was recycled. Follow-up assessments, conducted 1, 2, 3, and 7 months after all settings received local recycling containers, showed that 84% to 98% of paper was recycled. Providing desktop recycling containers was a cost-effective procedure with long-term maintenance and program survival.",,Journal of Applied Behavior Analysis,27,1,69,,"['pub.1017089117', 'pub.1018171405', 'pub.1019800950', 'pub.1069276010', 'pub.1018870447', 'pub.1009783869', 'pub.1073313183', 'pub.1069278221', 'pub.1034520045', 'pub.1014276234', 'pub.1069273744', 'pub.1051005690', 'pub.1053314544']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
2,ON FURTHER DEVELOPMENT OF THE CONCEPT OF SOCIAL VALIDITY,Jack W. Finney,Wiley,1991-06,10.1901/jaba.1991.24-245,pub.1028968248,,,Journal of Applied Behavior Analysis,24,2,22,"['Consumer Behavior', 'Goals', 'Health Behavior', 'Health Education', 'Health Promotion', 'Humans', 'Life Style', 'Risk Factors', 'Social Values']","['pub.1049981594', 'pub.1051179336', 'pub.1029805610', 'pub.1008973418', 'pub.1012422556', 'pub.1036172448', 'pub.1082030862', 'pub.1046090889', 'pub.1034827937', 'pub.1009684580', 'pub.1012180293', 'pub.1034591317', 'pub.1059825165', 'pub.1038129250', 'pub.1015599056', 'pub.1048971510']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
3,The Effects of Public Commitment and Group Feedback on Curbside Recycling,"Iser G. De Leon, R. Wayne Fuqua",SAGE Publications,1995-03,10.1177/0013916595272007,pub.1041578264,"This study examined the effects of three community interventions that rely on socially mediated consequences, rather than financial incentives, to promote consumer recycling. Households in the commitment-only group signed a letter making a public commitment to recycle and giving permission to publish their names in a local newspaper. The feedback-only group received weekly feedback on pounds of recyclable paper generated by their group. A combined-intervention group received a combination of the two previous interventions. Relative to baseline, the feedback-only and the combined-intervention groups increased the weight of recyclable paper by 25.47% and 40.00%, respectively. In contrast, neither the commitment-only group nor a no-intervention control group showed substantial changes over the same period. The implications of these interventions for developing community-wide recycling programs are discussed.",,Environment and Behavior,27,2,62,,"['pub.1046053530', 'pub.1018171405', 'pub.1009783869', 'pub.1006704788', 'pub.1004308877', 'pub.1033600099', 'pub.1031090802', 'pub.1019800950', 'pub.1069278221', 'pub.1047004250', 'pub.1007968555', 'pub.1053458356', 'pub.1053314544', 'pub.1001670018', 'pub.1051005690', 'pub.1034776720', 'pub.1034520045', 'pub.1069272952', 'pub.1002870523', 'pub.1029659265']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
4,"Commitment, behavior, and attitude change: An analysis of voluntary recycling","Carol M. Werner, Jane Turner, Kristen Shipman, F. Shawn Twitchell, Becky R. Dickson, Gary V. Bruschke, Wolfgang B. von Bismarck",Elsevier,1995-09,10.1016/0272-4944(95)90003-9,pub.1047924964,"This project was designed to help local agencies select the least effortful but most impactful method of inducing residents to participate in a free curbside recycling program. It also provided an opportunity to study attitude change. Results indicated that residents making a written commitment were more likely to participate (and to participate more than once) than those who learned about the program face-to-face, by telephone, or from only a flyer (all residents received the flyer; the signature-commitment and face-to-face groups also received telephone calls to prepare them for the experimenter's visit). Although groups had similar recycling histories—and by implication similar prior attitudes—those who participated had more favorable attitudes after 4 months than those who did not participate. In contrast to research showing that commitment could lead to behavior without corresponding changes in attitudes, the data supported the view that commitment and behavior can lead to changes in attitudes. The study sets the stage for systematic examination of the hypothesis that at first commitment leads to behavior without attitude change, but over time, if the behavior continues, attitude change occurs.",,Journal of Environmental Psychology,15,3,70,,"['pub.1043773634', 'pub.1053349945', 'pub.1037618143', 'pub.1003660452', 'pub.1004308877', 'pub.1042824146', 'pub.1017753224', 'pub.1047264406', 'pub.1021073723', 'pub.1025674445', 'pub.1043847598', 'pub.1069860280', 'pub.1025688619', 'pub.1002995927', 'pub.1046036520', 'pub.1018068391', 'pub.1069280024', 'pub.1037755275', 'pub.1040801089', 'pub.1019300533', 'pub.1034520045']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
5,Psychology and the Science of Human–Environment Interactions,Paul C. Stern,American Psychological Association (APA),2000-05,10.1037/0003-066x.55.5.523,pub.1048209249,"Psychology has an indispensable role in understanding environmental problems and finding solutions. To fill this role, psychologists must work within an interdisciplinary effort to build a scientific understanding of human-environment interactions. This article enumerates 8 widely held beliefs about these interactions and assesses the strengths and limitations of each belief. It suggests that psychology can contribute more strongly by counteracting disciplinary biases, focusing research where a behavioral analysis identifies major opportunities, making appropriately modest claims, collaborating with other disciplines, and building on psychology's relative strengths among the human sciences.",,American Psychologist,55,5,231,"['Conservation of Natural Resources', 'Environmental Pollution', 'Forecasting', 'Humans', 'Psychology', 'Science']","['pub.1004662655', 'pub.1003756240', 'pub.1004777148', 'pub.1036867554', 'pub.1044362979', 'pub.1062546504', 'pub.1029551432', 'pub.1003416935', 'pub.1069757781', 'pub.1023104607', 'pub.1053925296', 'pub.1063768769', 'pub.1052407474', 'pub.1044290157', 'pub.1007968555', 'pub.1026516285', 'pub.1043847598', 'pub.1062620025', 'pub.1069271747', 'pub.1005534897', 'pub.1004328971', 'pub.1034996849', 'pub.1012718162', 'pub.1041407757', 'pub.1010988988', 'pub.1069768945', 'pub.1018886214', 'pub.1026568659']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
6,A Sustainable Future for Humanity?,Stuart Oskamp,American Psychological Association (APA),2000-05,10.1037/0003-066x.55.5.496,pub.1004777148,"The sustainability of human life on Earth in the future is in danger. Human actions are producing many harmful and possibly irreversible changes to the environmental conditions that support life on Earth. This article summarizes major threats to Earth's environment, including global warming, ozone layer destruction, exhaustion of fisheries and agricultural land, and widespread exposure to toxic chemicals. Unless they are overcome, these changes will make human life increasingly miserable and eventually may make Earth nearly uninhabitable for future generations. These threats are caused by patterns of human behavior, particularly over-population and over-consumption. Urgent changes to human lifestyles and cultural practices are required for the world to escape ecological disaster, and psychologists should lead the way in helping people adopt sustainable patterns of living. Specific steps toward that goal are proposed in this and the following four articles.",,American Psychologist,55,5,215,"['Environmental Pollution', 'Forecasting', 'Humans', 'Life Style', 'Population Growth', 'Psychology', 'Survival']","['pub.1011760298', 'pub.1037087187', 'pub.1048209249', 'pub.1056512695', 'pub.1032291054', 'pub.1029551432', 'pub.1067508719', 'pub.1056512628', 'pub.1055363666', 'pub.1108333322', 'pub.1040793709', 'pub.1055366775', 'pub.1040920241', 'pub.1028428692', 'pub.1026516285', 'pub.1091554382', 'pub.1056749019', 'pub.1005763355', 'pub.1026011367', 'pub.1067508729', 'pub.1132514695', 'pub.1046623891', 'pub.1034449018', 'pub.1033066989', 'pub.1035815334', 'pub.1056749178', 'pub.1010734239', 'pub.1036034311', 'pub.1026568659']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
7,EFFECTS OF IMPLEMENTATION INTENTIONS ON THE ACTUAL PERFORMANCE OF NEW ENVIRONMENTALLY FRIENDLY BEHAVIOURS — RESULTS OF TWO FIELD EXPERIMENTS,SEBASTIAN BAMBERG,Elsevier,2002-12,10.1006/jevp.2002.0278,pub.1025444148,"In the context of two environmentally related behaviours (using a new bus route and shopping in a bio-shop) the implications of Gollwitzer's concept of implementation intention for Ajzenz's theory of planned behaviour are studied. Results of both studies supported the assumption that furnishing a goal intention with an additional implementation intention significantly increases the likelihood of actually performing the intended new behaviour. In the second study, the implementation intention intervention is combined with receiving a small vs higher monetary incentive. Receiving the higher incentive has similar behavioural effects to forming an implementation intention, whereas combining both interventions does not result in a stronger behavioural reaction. These results indicate that the behavioural effect of a higher monetary incentive might relay a similar volitional process to that of the implementation intention. Furthermore, in both studies there is some empirical evidence that both interventions suppress the impact of competitive habits.",,Journal of Environmental Psychology,22,4,94,,"['pub.1047924964', 'pub.1036867554', 'pub.1002962710', 'pub.1021786627', 'pub.1014356111', 'pub.1028082114', 'pub.1032475629', 'pub.1032824989', 'pub.1052402881', 'pub.1030526557', 'pub.1006360802', 'pub.1050583142', 'pub.1045377285', 'pub.1033391594', 'pub.1020614553', 'pub.1069271747', 'pub.1047449640', 'pub.1030952139', 'pub.1022708718', 'pub.1049724273', 'pub.1004800719', 'pub.1069271873', 'pub.1018620787', 'pub.1070093846', 'pub.1027637957', 'pub.1034520045', 'pub.1046958390', 'pub.1011615766']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
8,A Theory of Rule-Governed Behavior and Organizational Behavior Management,Richard W. Malott,Taylor & Francis,1993-02-03,10.1300/j075v12n02_03,pub.1002097677,"To a large extent, an organization's culture is probably not based on direct-acting contingencies of reinforcement and punishment. Instead it is generally based on indirect-acting conlineencies he.. analoe to reinforcement and ounishmentl A direct- - acting contingencyTs one where the oulcome involved'in the contingency is sufficiently immediate, sizable, and probable to reinforce or punish the causal response. An indirect-acting contingency is one Ulat controls the causal response, though the outcome contingent on that response is too improbable to actually reinforce or punish that causal response. In cases where indirect-acting contingencies do control Ihe response, it seems likely that they do so through the actions of rules describing those contingencies; in other words, such control is an instance of rule-governed behavior. Thus much of the control exerted by an organization's culture is through rule governance.",,Journal of Organizational Behavior Management,12,2,104,,"['pub.1078543283', 'pub.1032836237', 'pub.1020976411', 'pub.1000772975', 'pub.1000358895', 'pub.1051886400', 'pub.1070813071', 'pub.1044960171', 'pub.1034838032', 'pub.1078543225', 'pub.1011663551', 'pub.1024787738', 'pub.1028177907', 'pub.1022835558']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
9,Changing Behavior With Normative Feedback Interventions: A Field Experiment on Curbside Recycling,P. Wesley Schultz,Taylor & Francis,1999-03,10.1207/s15324834basp2101_3,pub.1041017742,"This field experiment increased the frequency of curbside recycling among community residents using feedback interventions that targeted personal and social norms. My team of researchers observed curbside recycling behaviors of 605 residents of single-family dwellings for 17 weeks. Groups of contiguous houses were randomly assigned to 1 of 5 experimental conditions: plea, plea plus information, plea plus neighborhood feedback, plea plus individual household feedback, or the control condition. Interventions were implemented using door hangers delivered to each household over a 4-week period. Results showed significant increases from baseline in the frequency of participation and total amount of recycled material for the individual (i.e., personal norm) and the group feedback (i.e., descriptive norm) interventions. None of the interventions altered the amount of contamination observed. These findings are interpreted as consistent with recent research on personal and social norms and suggest a link between behavior change produced through norm activation and behavior change produced through feedback. Implications for research and public policy are discussed.",,Basic and Applied Social Psychology,21,1,419,,"['pub.1024491250', 'pub.1020445972', 'pub.1041578264', 'pub.1020003468', 'pub.1019862894', 'pub.1070817868', 'pub.1025657769', 'pub.1042733896', 'pub.1040644560', 'pub.1069271067', 'pub.1103074527', 'pub.1069269687', 'pub.1004390571', 'pub.1001015473', 'pub.1002734873', 'pub.1009549848']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
