,wordscore,matching_terms,mode_words,research,solution,tech,_doi,_title
0,-3,"[('social', 1)]","[('and', 24), ('to', 18), ('the', 18), ('social', 13)]","[('research', 1), ('impact', 1), ('field', 1), ('positive', 1)]",[],"[('community', 1), ('social', 1)]",10.1108/jsocm-01-2018-0006,Resilience research and social marketing: the route to sustainable behaviour change
1,-1,[],"[('and', 10), ('in', 6), ('of', 5), ('the', 5)]","[('intervention', 1), ('field', 1), ('randomized', 1)]","[('intervention', 1), ('increase', 1)]",[],10.1080/09640568.2017.1305332,Convenience improves composting and recycling rates in high-density residential buildings
2,0,[],"[('of', 8), ('the', 7), ('elements', 7), ('taught', 7)]","[('functional', 1), ('research', 1), ('semantic', 1), ('study', 1)]",[],[],10.1044/jshr.3605.979,Effects of Initial Element Teaching in a Story-Telling Context on Blissymbol Acquisition and Generalization
3,5,"[('social', 1), ('information', 1), ('behavior', 1)]","[('the', 8), ('of', 6), ('recycling', 5), ('and', 5)]","[('research', 1), ('meta-analysis', 1), ('modeling', 1), ('intervention', 1)]","[('intervention', 1)]","[('social', 1)]",10.1016/j.jenvp.2017.03.011,Psychological strategies to promote household recycling. A systematic review with meta-analysis of validated field interventions
4,5,"[('information', 1), ('social', 1)]","[('the', 11), ('a', 10), ('of', 7), ('feedback', 7)]","[('study', 1), ('suggest', 1)]","[('decrease', 1), ('increase', 1)]","[('social', 1)]",10.1016/j.jenvp.2016.07.004,Increasing recycling through displaying feedback and social comparative feedback
5,5,"[('belief', 1), ('human', 1), ('information', 1), ('behavior', 1)]","[('the', 19), ('and', 16), ('of', 13), ('to', 8)]","[('impact', 1), ('found', 1), ('analyzed', 1), ('study', 1)]",[],"[('data', 1)]",10.3390/su13010018,Moving Beyond the One-Size-Fits-All Model in Describing the Climate Conserving Behaviors of Malaysian Secondary Students
6,4,"[('information', 1), ('social', 1)]","[('the', 16), ('and', 8), ('on', 7), ('of', 5)]","[('research', 1), ('test', 1), ('impact', 1), ('study', 1)]",[],"[('data', 1), ('social', 1)]",10.1108/ijlm-11-2019-0305,Do e-commerce customers change their preferred last-mile delivery based on its sustainability impact?
7,-1,"[('users', 1), ('behavior', 1)]","[('the', 8), ('to', 7), ('of', 6), ('a', 5)]","[('test', 1), ('positive', 1), ('study', 1), ('framework', 1)]",[],[],10.5325/transportationj.58.3.0149,Modal Shift from Car to Bus: A French Case Study in a Rural Context Based on an Integrated Psychosocial Approach
8,1,"[('behavior', 1)]","[('the', 5), ('of', 5), ('in', 4), ('and', 3)]","[('research', 1), ('field', 1), ('stimuli', 1), ('recent', 1)]",[],[],10.1080/01608061.2016.1211062,Motivation and Complex Verbal Phenomena: Implications for Organizational Research and Practice
9,3,"[('information', 1), ('false', 1), ('behavior', 1), ('social', 1)]","[('to', 8), ('single-use', 5), ('plastic', 5), ('and', 5)]","[('research', 1), ('control', 1), ('controlled', 1), ('study', 1)]",[],"[('social', 1)]",10.3389/fpsyg.2021.612662,Social Comparison Information Influences Intentions to Reduce Single-Use Plastic Water Bottle Consumption
10,1,"[('social', 1)]","[('the', 7), ('to', 6), ('and', 6), ('energy', 5)]","[('impact', 1), ('intervention', 1), ('controlled', 1), ('follow-up', 1)]","[('intervention', 1), ('increase', 1)]","[('social', 1)]",10.1038/nenergy.2016.91,Effects of a behaviour change intervention for Girl Scouts on child and parent energy-saving behaviours
11,0,[],"[('the', 9), ('of', 8), ('energy', 7), ('hotels', 4)]","[('found', 1), ('positive', 1), ('study', 1), ('model', 1)]",[],[],10.1016/j.ijhm.2020.102538,Exploring the viability of a new ‘pay-as-you-use’ energy management model in budget hotels
12,-3,"[('design', 1), ('belief', 1), ('social', 1)]","[('and', 18), ('the', 13), ('a', 10), ('to', 8)]","[('test', 1), ('analysis', 1), ('review', 1), ('framework', 1)]",[],"[('community', 1), ('social', 1), ('data', 1)]",10.1007/s11269-012-0061-x,Water Cognition and Cognitive Affective Mapping: Identifying Priority Clusters Within a Canadian Water Efficiency Community
13,0,[],"[('of', 5), ('the', 4), ('programs', 3), ('to', 3)]","[('analysis', 1), ('found', 1), ('research', 1)]",[],[],10.1177/0011000093214005,Thoughts on Saving Our Planet
14,3,"[('design', 1), ('social', 1)]","[('and', 18), ('the', 18), ('a', 7), ('in', 7)]","[('test', 1), ('positive', 1), ('analyzed', 1), ('study', 1)]",[],"[('social', 1)]",10.3389/fevo.2021.612789,Local Perception in Forest Landscape Restoration Planning: A Case Study From the Brazilian Atlantic Forest
15,4,"[('trust', 1), ('social', 1)]","[('the', 19), ('to', 11), ('of', 9), ('and', 8)]","[('impact', 1), ('overall', 1)]","[('increase', 1)]","[('social', 1)]",10.1080/1354983052000330761,Who changes consumption following residential energy evaluations? local programs need all income groups to achieve kyoto targets
16,1,"[('exposure', 1)]","[('the', 13), ('of', 12), ('to', 11), ('in', 6)]","[('result', 1), ('field', 1), ('impact', 1), ('study', 1)]",[],[],10.3390/parasitologia1010003,Effect of Neonicotinoid Exposure on the Life History Traits and Susceptibility to Plasmodium Infection on the Major Avian Malaria Vector Culex pipiens (Diptera: Culicidae)
17,0,[],[],[],[],[],10.3917/cips.102.0259,Communication engageante appliquée au tri sélectif : comparaison entre les techniques du pied-dans-la-porte et du double-pied-dans-la-porte
18,0,[],"[('of', 11), ('the', 10), ('that', 4), ('in', 4)]","[('analysis', 1), ('article', 1), ('study', 1)]",[],[],10.1177/009539979002100405,A Bureaucrat in Every Japanese Kitchen?
19,3,"[('information', 1), ('behavior', 1)]","[('the', 8), ('that', 5), ('conservation', 5), ('strategies', 4)]","[('meta-analysis', 1), ('impact', 1), ('field', 1), ('study', 1)]","[('increase', 1)]",[],10.1016/j.enpol.2013.05.109,Information strategies and energy conservation behavior: A meta-analysis of experimental studies from 1975 to 2012
20,7,"[('design', 1), ('boosting', 1), ('behavior', 1), ('social', 1)]","[('the', 8), ('of', 6), ('and', 6), ('recycling', 4)]","[('research', 1), ('recent', 1), ('trial', 1)]",[],"[('channels', 1), ('channel', 1), ('social', 1)]",10.1080/15245004.1997.9960986,Facilitating Recycling: Reverse—Distribution Channel Design for Participation and Support
21,0,"[('human', 1), ('behavior', 1)]","[('of', 11), ('the', 10), ('in', 8), ('and', 7)]","[('research', 1), ('field', 1), ('analysis', 1), ('review', 1)]",[],"[('community', 1)]",10.1080/10852350902975884,Applied Behavior Analysis: Understanding and Changing Behavior in the Community—A Representative Review
22,4,"[('design', 1), ('experience', 1), ('social', 1)]","[('the', 5), ('and', 4), ('of', 3), ('this', 2)]","[('article', 1), ('framework', 1)]",[],"[('social', 1)]",10.1007/bf02737078,"A framework for the conceptualization, design, and strategic management of planned change systems"
