,wordscore,most_freq_target_words,most_freq_all_words,study_design_hunch,impact_of_study_hunch,tech_words_freq,_doi,_title
0,4,"[('behavior', 1), ('human', 1)]","[('to', 11), ('of', 10), ('the', 9), ('be', 7)]","[('found', 1), ('conventional', 1), ('meta-analysis', 1), ('measure', 1)]","[('finding', 1)]","[('data', 1)]",10.1016/j.cresp.2022.100035,On the habitual nature of environmentally relevant behavior: Evidence from a consequential dilemma task
1,2,"[('social', 1)]","[('the', 13), ('and', 11), ('of', 9), ('social', 8)]","[('intervention', 1), ('positive', 1), ('review', 1)]","[('intervention', 1), ('increase', 1)]","[('social', 1), ('virtual', 1)]",10.32328/turkjforsci.953712,A STUDY ON OFFICE PAPER PRODUCTION FROM PRIMARY AND SECONDARY FIBERS
3,2,[],"[('and', 13), ('environmentally', 12), ('conscious', 12), ('environmental', 11)]","[('analysis', 1), ('framework', 1), ('survey', 1), ('research', 1)]",[],"[('online', 1), ('data', 1)]",10.1016/j.resconrec.2022.106159,"Identifying the driving factors of rural residents’ household waste classification behavior: Evidence from Sichuan, China"
5,2,"[('experience', 1), ('design', 1)]","[('the', 17), ('a', 11), ('is', 9), ('cbdbe', 8)]","[('study', 1)]",[],[],10.3390/su14031824,"Climate Change Beliefs, Personal Environmental Norms and Environmentally Conscious Behaviour Intention"
6,2,"[('behavior', 1), ('information', 1)]","[('the', 11), ('of', 9), ('and', 7), ('behavior', 6)]","[('recent', 1), ('analysis', 1), ('article', 1), ('field', 1)]",[],[],10.1089/eco.2021.0014,The State of Interdependence with Nature Scale: Development and Initial Validation
9,2,"[('information', 1), ('rated', 1)]","[('the', 20), ('energy', 15), ('in', 8), ('to', 8)]","[('modeling', 1), ('difference', 1), ('model', 1), ('study', 1)]",[],[],10.1016/j.erss.2022.102496,Double trouble: Concurrently targeting water and electricity using normative messages in the Middle East
11,2,"[('consumer', 1)]","[('the', 23), ('sustainable', 16), ('of', 13), ('behaviour', 13)]","[('analysis', 1), ('theoretical', 1), ('control', 1), ('research', 1)]","[('increase', 1)]",[],10.3390/su14042390,Energy Conservation Measures and Value Engineering for Small Microgrid: New Hospital as a Case Study
12,5,"[('architecture', 1), ('social', 1), ('nudge', 1), ('choice', 1)]","[('the', 10), ('to', 9), ('in', 6), ('‘', 5)]","[('study', 1)]",[],"[('social', 1)]",10.3390/su14031427,"Insights into Efficient Irrigation of Urban Landscapes: Analysis Using Remote Sensing, Parcel Data, Water Use, and Tiered Rates"
14,3,"[('design', 1), ('consumer', 1)]","[('to', 12), ('that', 7), ('a', 6), ('the', 6)]","[('tested', 1)]",[],"[('reach', 1)]",10.1007/978-3-030-14449-4_1-1,Seminal Articles in Social Marketing
15,4,"[('behavior', 1), ('information', 1), ('social', 1)]","[('the', 12), ('of', 10), ('green', 6), ('consumption', 6)]","[('found', 1), ('experiment', 1), ('positive', 1), ('impact', 1)]",[],"[('social', 1)]",10.3390/su122410418,"Nudges, Norms, or Just Contagion? A Theory on Influences on the Practice of (Non-)Sustainable Behavior"
17,3,"[('behavior', 1), ('social', 1)]","[('the', 8), ('of', 7), ('in', 6), ('a', 6)]","[('recent', 1), ('analysis', 1), ('review', 1), ('field', 1)]",[],"[('social', 1)]",10.1080/1360080x.2022.2027611,Greening on-campus housing: blending commercial and higher education contexts
18,3,"[('behavior', 1), ('social', 1)]","[('the', 8), ('of', 7), ('in', 6), ('a', 6)]","[('recent', 1), ('analysis', 1), ('review', 1), ('field', 1)]",[],"[('social', 1)]",10.1016/j.jenvp.2021.101625,"Pay now, save later: Using insights from behavioural economics to commit consumers to environmental sustainability"
19,3,"[('behavior', 1), ('social', 1)]","[('the', 8), ('of', 7), ('in', 6), ('a', 6)]","[('recent', 1), ('analysis', 1), ('review', 1), ('field', 1)]",[],"[('social', 1)]",10.1007/s10668-021-01540-8,The effect of message framing and language intensity on green consumption behavior willingness
20,4,"[('behavior', 1)]","[('to', 10), ('meat', 9), ('and', 7), ('participants', 7)]","[('overall', 1), ('control', 1)]","[('decrease', 1), ('increase', 1)]","[('data', 1)]",10.1016/j.jenvp.2021.101669,Aesthetics and logistics in urban parks; can moving waste receptacles to park exits decrease littering?
21,3,"[('behavior', 1), ('social', 1)]","[('the', 8), ('of', 7), ('in', 6), ('a', 6)]","[('recent', 1), ('analysis', 1), ('review', 1), ('field', 1)]",[],"[('social', 1)]",10.1007/s42822-020-00043-x,Going Green: A Systematic Review of Proenvironmental Empirical Research in Behavior Analysis
22,4,"[('behavior', 1)]","[('to', 11), ('and', 8), ('environmental', 7), ('the', 7)]","[('analysis', 1), ('intervention', 1), ('survey', 1), ('subjects', 1)]","[('intervention', 1)]","[('content', 1), ('online', 1)]",10.1007/s42822-020-00043-x,Going Green: A Systematic Review of Proenvironmental Empirical Research in Behavior Analysis
23,3,"[('design', 1), ('consumer', 1), ('human', 1)]","[('and', 14), ('the', 13), ('of', 9), ('in', 5)]","[('overall', 1), ('research', 1), ('analysis', 1), ('recent', 1)]",[],[],10.1007/s42822-020-00043-x,Going Green: A Systematic Review of Proenvironmental Empirical Research in Behavior Analysis
